COD;Agrega Valor;Horário Inicial;Horário final;TEMPO;TEMPO (MIN);TEMPO(ROT);Qtd peças conformes;Qtd peças não conformes;Observações;Data;Turno
2050157;S;22:05;22:26;0:21:00;21;19;1;;Frontal;30/01/2020;T2
2008164;S;22:26;22:55;0:29:00;29;21;4;;Barrote;30/01/2020;T2
192;N;22:55:00;23:42;0:47:00;47;#N/A;;;Frontal;30/01/2020;T2
2050430;S;23:43;0:05;0:22:00;22;12;1;;Frontal;30/01/2020;T2
192;N;0:06;0:29;0:23:00;23;#N/A;;;;30/01/2020;T2
2008164;S;0:30;1:02;0:32:00;32;5;1;;Barrote;30/01/2020;T2
192;N;7:00;7:30;0:30:00;30;#N/A;;;Setup;03/02/2020;T1
2050430;S;7:30;8:00;0:30:00;30;12;1;;Frontal;03/02/2020;T1
192;N;8:00;9:00;1:00:00;60;#N/A;;;Setup;03/02/2020;T1
2050430;S;9:00;9:50;0:50:00;50;12;1;;Frontal;03/02/2020;T1
192;N;9:50;10:10;0:20:00;20;#N/A;;;Setup;03/02/2020;T1
2047860;S;10:10;11:05;0:55:00;55;47;1;;Porta Lateral inferior;03/02/2020;T1
192;N;11:05;11:20;0:15:00;15;#N/A;;;Setup;03/02/2020;T1
2050430;S;11:20;11:45;0:25:00;25;12;1;;Frontal;03/02/2020;T1
180;N;11:45;12:55;1:10:00;70;#N/A;;;Almoço;03/02/2020;T1
192;N;12:55;16:00;3:05:00;185;#N/A;;;Setup;03/02/2020;T1
2026398;S;16:00;17:10;1:10:00;70;5;1;;Porta Lateral inferior;03/02/2020;T1
182;N;17:10;18:00;0:50:00;50;#N/A;;;;03/02/2020;T2
192;N;18:00;18:21;0:21:00;21;#N/A;;;;03/02/2020;T2
2050430;S;18:21;18:44;0:23:00;23;12;1;;Frontal;03/02/2020;T2
192;N;18:44;23:15;4:31:00;271;#N/A;;;;03/02/2020;T2
192;N;23:15;23:34;0:19:00;19;#N/A;;;;03/02/2020;T2
2050430;S;23:34;23:56;0:22:00;22;12;1;;Frontal;03/02/2020;T2
160;N;23:56;0:35;0:39:00;39;#N/A;;;;03/02/2020;T2
192;N;0:35;0:54;0:19:00;19;#N/A;;;;03/02/2020;T2
2049980;S;0:54;1:17;0:23:00;23;12;1;;Frontal;03/02/2020;T2
160;N;1:17;1:40;0:23:00;23;#N/A;;;;03/02/2020;T2
192;N;1:40;1:58;0:18:00;18;#N/A;;;;03/02/2020;T2
2050430;S;1:58;2:20;0:22:00;22;12;1;;Frontal;03/02/2020;T2
2050091;S;10:40;11:35;0:55:00;55;80;1;;Tampa lateral inferior;05/02/2020;T1
192;N;11:35;11:45;0:10:00;10;#N/A;;;Setup;05/02/2020;T1
2049165;S;11:45;12:05;0:20:00;20;45;1;;Frontal;05/02/2020;T1
180;N;12:05;13:15;1:10:00;70;#N/A;;;Almoço 1:10;05/02/2020;T1
201;N;13:15;13:55;0:40:00;40;#N/A;;;Montagem Barrote;05/02/2020;T1
2034335;S;13:55;14:45;0:50:00;50;64;8;;Soldagem Barrote;05/02/2020;T1
192;N;14:45;15:00;0:15:00;15;#N/A;;;Setup Frontal;05/02/2020;T1
2048374;S;15:00;15:30;0:30:00;30;45;1;;Frontal;05/02/2020;T1
40;N;15:30;15:40;0:10:00;10;#N/A;;;;05/02/2020;T1
192;N;15:40;16:00;0:20:00;20;#N/A;;;Setup;05/02/2020;T1
2047860;S;16:00;17:10;1:10:00;70;47;1;;Tampa lateral inferior;05/02/2020;T1
192;N;17:10;17:31;0:21:00;21;#N/A;;;;05/02/2020;T2
2049980;S;17:31;17:53;0:22:00;22;12;1;;Frontal;05/02/2020;T2
201;N;17:53;22:40;4:47:00;287;#N/A;;;;05/02/2020;T2
192;N;22:40;23:49;1:09:00;69;#N/A;;;;05/02/2020;T2
2050091;S;23:49;0:18;0:29:00;29;80;1;;Barrote Lateral;05/02/2020;T2
192;N;0:18;0:39;0:21:00;21;#N/A;;;;05/02/2020;T2
2048374;S;0:39;1:00;0:21:00;21;45;1;;Frontal;05/02/2020;T2
201;N;1:00;2:22;1:22:00;82;#N/A;;;;05/02/2020;T2
10;N;7:00;7:15;0:15:00;15;#N/A;;;Montagem tampa gabarito;05/02/2020;T1
192;N;7:15;7:35;0:20:00;20;#N/A;;;Setup;05/02/2020;T1
2028323;S;7:35;8:00;0:25:00;25;1;1;;Frontal;05/02/2020;T1
192;N;8:00;10:15;2:15:00;135;#N/A;;;Setup tampa 2050091;05/02/2020;T1
192;N;10:15;10:21;0:06:00;6;#N/A;;;Setup Frontal;05/02/2020;T1
2041332;S;10:21;10:40;0:19:00;19;45;1;;Frontal;05/02/2020;T1
40;N;7:00;7:15;0:15:00;15;#N/A;;;Retirada Peças Gabarito;06/02/2020;T1
192;N;7:15;7:30;0:15:00;15;#N/A;;;Setup;06/02/2020;T1
2049980;S;7:30;7:48;0:18:00;18;12;1;;Frontal;06/02/2020;T1
192;N;7:48;9:00;1:12:00;72;#N/A;;;Setup;06/02/2020;T1
2008164;S;9:00;10:00;1:00:00;60;42;8;;Barrote;06/02/2020;T1
192;N;10:00;10:30;0:30:00;30;#N/A;;;Setup Tampa Lateral Inf;06/02/2020;T1
2047860;S;10:30;11:15;0:45:00;45;47;1;;Tampa Lateral Inf;06/02/2020;T1
192;N;11:15;11:30;0:15:00;15;#N/A;;;Setup Barrote;06/02/2020;T1
2008164;S;11:30;12:00;0:30:00;30;42;8;;Barrote 1 lado soldado;06/02/2020;T1
180;N;12:00;13:10;1:10:00;70;#N/A;;;Almoço;06/02/2020;T1
192;N;13:10;13:25;0:15:00;15;#N/A;;;Setup;06/02/2020;T1
2008164;S;13:25;15:55;2:30:00;150;42;8;;Continação barrote 2 lado;06/02/2020;T1
192;N;13:55;14:25;0:30:00;30;#N/A;;;Setup Tampa Lateral Inf;06/02/2020;T1
2035284;S;14:25;15:20;0:55:00;55;48;1;;Tampa Lateral Inferior;06/02/2020;T1
192;N;15:20;15:35;0:15:00;15;#N/A;;;Setup Frontal;06/02/2020;T1
2049980;S;15:35;16:00;0:25:00;25;12;1;;Frontal;06/02/2020;T1
192;N;16:00;17:00;1:00:00;60;#N/A;;;Retira Gabarito Para Melhorias;06/02/2020;T1
120;N;17:00;17:10;0:10:00;10;#N/A;;;;06/02/2020;T1
120;N;17:00;18:00;1:00:00;60;#N/A;;;Limpeza Robo;06/02/2020;T2
192;N;18:00;18:19;0:19:00;19;#N/A;;;;06/02/2020;T2
2050430;S;18:19;18:38;0:19:00;19;12;1;;Frontal;06/02/2020;T2
202;N;18:38;20:30;1:52:00;112;#N/A;;;;06/02/2020;T2
180;N;20:30;21:30;1:00:00;60;#N/A;;;;06/02/2020;T2
192;N;21:30;21:49;0:19:00;19;#N/A;;;;06/02/2020;T2
2050430;S;21:49;22:08;0:19:00;19;12;1;;Frontal;06/02/2020;T2
192;N;22:50;23:10;0:20:00;20;#N/A;;;;06/02/2020;T2
2050430;S;23:10;23:29;0:19:00;19;12;1;;;06/02/2020;T2
201;N;22:08;22:50;0:42:00;42;#N/A;;;;06/02/2020;T2
201;N;23:29;1:40;2:11:00;131;#N/A;;;;06/02/2020;T2
192;N;1:40;1:58;0:18:00;18;#N/A;;;;06/02/2020;T2
2049165;S;1:58;2:17;0:19:00;19;45;1;;Frontal;06/02/2020;T2
11;N;7:00;7:30;0:30:00;30;#N/A;;;Falta;10/02/2020;T1
192;N;7:30;8:30;1:00:00;60;#N/A;;;Setup Barrote;10/02/2020;T1
2008164;S;8:30;9:15;0:45:00;45;42;8;;Barrote;10/02/2020;T1
2050430;S;9:15;9:40;0:25:00;25;12;1;;Frontal;10/02/2020;T1
2008164;S;9:40;10:10;0:30:00;30;42;8;;Solda 2 lado barrote;10/02/2020;T1
201;N;10:10;10:30;0:20:00;20;#N/A;;;Montagem Barrote;10/02/2020;T1
2008164;S;10:30;11:45;1:15:00;75;42;8;;Barrote e Setup;10/02/2020;T1
180;N;11:45;12:55;1:10:00;70;#N/A;;;Almoço;10/02/2020;T1
192;N;12:55;13:15;0:20:00;20;#N/A;;;Setup;10/02/2020;T1
2050430;S;13:15;14:00;0:45:00;45;12;1;;Frontal;10/02/2020;T1
10;N;14:00;14:10;0:10:00;10;#N/A;;;Montagem;10/02/2020;T1
192;N;14:10;14:20;0:10:00;10;#N/A;;;Setup Frontal;10/02/2020;T1
2050430;S;14:20;14:50;0:30:00;30;12;1;;Frontal;10/02/2020;T1
40;N;14:50;15:15;0:25:00;25;#N/A;;;Retirada frontal Gabarito;10/02/2020;T1
192;N;15:15;15:40;0:25:00;25;#N/A;;;Setup Barrote menor;10/02/2020;T1
2034335;S;15:40;17:00;1:20:00;80;64;8;;Barrote menor;10/02/2020;T1
192;N;20:01;20:30;0:29:00;29;#N/A;;;;10/02/2020;T2
2008164;S;21:35;22:00;0:25:00;25;21;4;;;10/02/2020;T2
192;N;22:20;22:39;0:19:00;19;#N/A;;;;10/02/2020;T2
2050430;S;22:39;22:58;0:19:00;19;12;1;;;10/02/2020;T2
192;N;22:59;23:18;0:19:00;19;#N/A;;;;10/02/2020;T2
2008164;S;23:19;0:01;0:42:00;42;21;4;;;10/02/2020;T2
192;N;0:01;0:20;0:19:00;19;#N/A;;;;10/02/2020;T2
2050430;S;0:20;0:41;0:21:00;21;12;1;;;10/02/2020;T2
182;N;7:00;7:30;0:30:00;30;#N/A;;;Terça qualidade;11/02/2020;T1
192;N;7:30;8:00;0:30:00;30;#N/A;;;Setup Frontal;11/02/2020;T1
2050430;S;8:00;8:30;0:30:00;30;12;1;;Frontal Premium;11/02/2020;T1
2008164;S;8:30;8:55;0:25:00;25;42;8;;Montagem barrote 8Pcs Montados;11/02/2020;T1
2008164;S;8:55;10:00;1:05:00;65;42;8;;Soldados 8Pcs soldados;11/02/2020;T1
181;N;10:00;10:10;0:10:00;10;#N/A;8;;8Pcs Montados  retrabalho 3 Pcs;11/02/2020;T1
40;N;10:10;10:20;0:10:00;10;#N/A;;;retirada Pcs gabatiro;11/02/2020;T1
160;N;10:20;10:35;0:15:00;15;#N/A;;;Indisponivel;11/02/2020;T1
10;N;10:35;10:45;0:10:00;10;#N/A;;;Montagem Pcs gabarito;11/02/2020;T1
192;N;10:45;11:00;0:15:00;15;#N/A;;;Setup Frontal;11/02/2020;T1
2050430;S;11:00;11:35;0:35:00;35;12;1;;Setup Frontal Premiun;11/02/2020;T1
180;N;11:35;12:55;1:20:00;80;#N/A;;;Almoço;11/02/2020;T1
40;N;12:55;13:20;0:25:00;25;#N/A;;;Retirada peças gabarito;11/02/2020;T1
192;N;13:20;13:55;0:35:00;35;#N/A;;;tampa lateral inferior;11/02/2020;T1
2047860;S;13:55;14:50;0:55:00;55;47;1;;tampa lateral inferior;11/02/2020;T1
192;N;14:50;15:00;0:10:00;10;#N/A;;;Setup frontal P;11/02/2020;T1
2050430;S;15:00;15:20;0:20:00;20;12;1;;Frontal Premiun;11/02/2020;T1
